prey_name,family,diet,habitat,urban,mig_strat,log10_mass,age_mature,feeder_bird
Western Wood-Pewee,Tyrannidae,Invertebrates,Woodland,No,Long,1.15,1,No
Elegant Tern,Laridae,Vertebrates,Ocean,No,Long,2.41,3,No
Elegant Trogon,Trogonidae,Omnivore,Woodland,No,Short,1.85,2,No
Emperor Goose,Anatidae,Omnivore,Wetland,No,Moderate,3.33,3.5,No
Eurasian Collared-Dove,Columbidae,Seed,Various,Yes,Resident,2.17,1,Yes
Eurasian Tree Sparrow,Passeridae,Seed,Various,Yes,Resident,1.33,1,Occassionally
Eurasian Wigeon,Anatidae,Vegetation,Wetland,No,Long,2.89,1,No
European Starling,Sturnidae,Omnivore,Various,Yes,Withdrawal,1.89,1,Yes
Evening Grosbeak,Fringillidae,Omnivore,Woodland,No,Irruptive,1.79,1,Yes
Ferruginous Hawk,Accipitridae,Vertebrates,Grassland,No,Short,3.17,1.5,No
Ferruginous Pygmy-Owl,Strigidae,Invertebrates,Woodland,No,Resident,1.85,1,No
Field Sparrow,Emberizidae,Seed,Shrubland,No,Short,1.1,1,Occassionally
Fish Crow,Corvidae,Omnivore,Wetland,Yes,Withdrawal,2.45,2,No
Five-striped Sparrow,Emberizidae,Invertebrates,Shrubland,No,Resident,1.28,1,No
Florida Scrub-Jay,Corvidae,Omnivore,Shrubland,Yes,Resident,1.89,2.5,Occassionally
Forster's Tern,Sternidae,Vertebrates,Wetland,No,Moderate,2.17,2,No
Fox Sparrow,Emberizidae,Omnivore,Shrubland,No,Short,1.54,1,Yes
Franklin's Gull,Laridae,Invertebrates,Wetland,No,Long,2.45,2,No
Fulvous Whistling-Duck,Anatidae,Vegetation,Wetland,No,Withdrawal,2.88,1,No
Gadwall,Anatidae,Vegetation,Wetland,No,Short,2.96,1.5,No
Gambel's Quail,Odontophoridae,Seed,Shrubland,Yes,Resident,2.23,1,Occassionally
Gila Woodpecker,Picidae,Omnivore,Woodland,Yes,Resident,1.81,1,Occassionally
Gilded Flicker,Picidae,Invertebrates,Woodland,No,Resident,2.16,1,Occassionally
Glaucous Gull,Laridae,Omnivore,Wetland,No,Moderate,3.18,3.5,No
Glaucous-winged Gull,Laridae,Omnivore,Ocean,Yes,Short,3.02,5.5,No
Glossy Ibis,Threskiornithidae,Invertebrates,Wetland,No,Withdrawal,2.8,2.5,No
Golden Eagle,Accipitridae,Vertebrates,Various,No,Short,3.63,5.5,No
Golden-crowned Kinglet,Regulidae,Invertebrates,Woodland,No,Short,0.78,1,Occassionally
Golden-crowned Sparrow,Emberizidae,Omnivore,Shrubland,No,Moderate,1.5,1,Yes
Golden-fronted Woodpecker,Picidae,Omnivore,Woodland,Yes,Resident,1.91,1,Occassionally
Grasshopper Sparrow,Emberizidae,Invertebrates,Various,No,Short,1.25,1,No
Gray Catbird,Mimidae,Omnivore,Shrubland,Yes,Short,1.55,1,Occassionally
Gray Flycatcher,Tyrannidae,Invertebrates,Various,No,Moderate,1.08,2,No
Gray Hawk,Accipitridae,Vertebrates,Woodland,No,Withdrawal,2.63,2,No
Gray Jay,Corvidae,Omnivore,Woodland,No,Resident,1.85,1,Yes
Gray Partridge,Phasianidae,Seed,Grassland,No,Resident,2.61,1,Occassionally
Great Black-backed Gull,Laridae,Omnivore,Wetland,Yes,Short,3.22,4.5,No
Great Blue Heron,Ardeidae,Vertebrates,Wetland,No,Short,3.4,1.5,No
Great Cormorant,Phalacrocoracidae,Vertebrates,Ocean,No,Short,3.4,3,No
Great Crested Flycatcher,Tyrannidae,Invertebrates,Woodland,Yes,Moderate,1.53,1,No
Great Egret,Ardeidae,Vertebrates,Wetland,No,Short,2.98,2,No
Great Gray Owl,Strigidae,Vertebrates,Woodland,No,Resident,3.03,3.5,No
Great Horned Owl,Strigidae,Vertebrates,Woodland,Yes,Resident,3.18,2,No
Great Kiskadee,Tyrannidae,Invertebrates,Woodland,Yes,Resident,1.8,2,No
Greater Pewee,Tyrannidae,Invertebrates,Woodland,No,Short,1.43,1.5,No
Greater Prairie-Chicken,Tetraodonidae,Seed,Grassland,No,Resident,2.94,0.8,No
Greater Roadrunner,Cuculidae,Vertebrates,Shrubland,Yes,Resident,2.57,2.5,Occassionally
Greater Sage-Grouse,Tetraodonidae,Vegetation,Shrubland,No,Resident,3.28,1,No
Greater Scaup,Anatidae,Invertebrates,Wetland,No,Moderate,3,1,No
Greater White-fronted Goose,Anatidae,Vegetation,Wetland,No,Moderate,3.4,3,No
Greater Yellowlegs,Scolopacidae,Invertebrates,Wetland,No,Moderate,2.21,1.5,No
Green Heron,Ardeidae,Vertebrates,Wetland,No,Short,2.38,1,No
Green Jay,Corvidae,Omnivore,Woodland,Yes,Resident,1.9,1,Yes
Green Kingfisher,Alcedinidae,Vertebrates,Wetland,No,Resident,1.57,1,No
Green Parakeet,Psittacidae,Fruit,Various,Yes,Resident,2.37,2,Occassionally
Green-tailed Towhee,Emberizidae,Omnivore,Shrubland,No,Short,1.46,1,Occassionally
Green-winged Teal,Anatidae,Vegetation,Wetland,No,Short,2.53,0.4,No
Groove-billed Ani,Crotophagidae,Invertebrates,Shrubland,No,Withdrawal,1.91,2,No
Gull-billed Tern,Sternidae,Omnivore,Ocean,No,Moderate,2.23,4.5,No
